question_id,video,title,link,total Accepted,total Submitted,difficulty,isPaid
1112,,Find Words That Can Be Formed by Characters,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,76176,112200,1,False
1111,,Minimum Score Triangulation of Polygon,https://leetcode.com/problems/minimum-score-triangulation-of-polygon,14696,29258,2,False
1108,,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern,29972,69599,2,True
1107,False,Minimum Swaps to Group All 1's Together,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,10312,17521,2,True
1106,,Escape a Large Maze,https://leetcode.com/problems/escape-a-large-maze,11999,34956,3,False
1105,,Uncrossed Lines,https://leetcode.com/problems/uncrossed-lines,52570,93578,2,False
1104,,Coloring A Border,https://leetcode.com/problems/coloring-a-border,13392,29270,2,False
1103,,Moving Stones Until Consecutive,https://leetcode.com/problems/moving-stones-until-consecutive,16191,37431,1,False
1102,,Check If a Number Is Majority Element in a Sorted Array,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,20609,36042,1,True
1101,False,Parallel Courses,https://leetcode.com/problems/parallel-courses,17817,29049,2,True
1100,False,Connecting Cities With Minimum Cost,https://leetcode.com/problems/connecting-cities-with-minimum-cost,25757,43233,2,True
1099,,Path With Maximum Minimum Value,https://leetcode.com/problems/path-with-maximum-minimum-value,30147,59362,2,True
1098,False,Largest Unique Number,https://leetcode.com/problems/largest-unique-number,21666,31847,1,True
1097,False,Stream of Characters,https://leetcode.com/problems/stream-of-characters,45856,94423,3,False
1096,,Maximum Sum of Two Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays,35344,59943,2,False
1095,False,Two City Scheduling,https://leetcode.com/problems/two-city-scheduling,111031,190768,2,False
1094,,Matrix Cells in Distance Order,https://leetcode.com/problems/matrix-cells-in-distance-order,31755,46694,1,False
1093,,Recover a Tree From Preorder Traversal,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal,25320,35643,3,False
1092,False,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,80272,115191,2,False
1091,False,Maximum Average Subtree,https://leetcode.com/problems/maximum-average-subtree,28755,45038,2,True
1090,False,Armstrong Number,https://leetcode.com/problems/armstrong-number,18169,23250,1,True
1089,,Remove Vowels from a String,https://leetcode.com/problems/remove-vowels-from-a-string,64124,70819,1,True
1088,,Number of Days in a Month,https://leetcode.com/problems/number-of-days-in-a-month,5092,8886,1,True
1087,,Longest Arithmetic Subsequence,https://leetcode.com/problems/longest-arithmetic-subsequence,59435,119488,2,False
1086,,Divisor Game,https://leetcode.com/problems/divisor-game,99153,150003,1,False
1085,,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,9322,13755,2,True
1084,,Find K-Length Substrings With No Repeated Characters,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters,17801,24350,2,True
1083,True,Two Sum Less Than K,https://leetcode.com/problems/two-sum-less-than-k,59669,98149,1,True
1082,,Sum of Digits in the Minimum Number,https://leetcode.com/problems/sum-of-digits-in-the-minimum-number,16298,21691,1,True
1081,,Video Stitching,https://leetcode.com/problems/video-stitching,31468,64272,2,False
1080,,Camelcase Matching,https://leetcode.com/problems/camelcase-matching,22704,39399,2,False
1079,False,Sum of Root To Leaf Binary Numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers,90903,126989,1,False
1078,,Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses,129575,163687,1,False
1077,,Confusing Number II,https://leetcode.com/problems/confusing-number-ii,20815,45649,3,True
1076,,Brace Expansion,https://leetcode.com/problems/brace-expansion,26896,42549,2,True
1075,,Index Pairs of a String,https://leetcode.com/problems/index-pairs-of-a-string,10704,17550,1,True
1074,False,High Five,https://leetcode.com/problems/high-five,53466,69123,1,True
1073,,Number of Enclaves,https://leetcode.com/problems/number-of-enclaves,25653,43331,2,False
1072,,Next Greater Node In Linked List,https://leetcode.com/problems/next-greater-node-in-linked-list,68015,116751,2,False
1071,,Binary Prefix Divisible By 5,https://leetcode.com/problems/binary-prefix-divisible-by-5,30476,63828,1,False
1070,,Convert to Base -2,https://leetcode.com/problems/convert-to-base-2,14089,23803,2,False
1069,,Confusing Number,https://leetcode.com/problems/confusing-number,17998,38321,1,True
1068,,Digit Count in Range,https://leetcode.com/problems/digit-count-in-range,2173,5218,3,True
1067,,Campus Bikes II,https://leetcode.com/problems/campus-bikes-ii,28446,52496,2,True
1066,,Fixed Point,https://leetcode.com/problems/fixed-point,23220,35828,1,True
1065,,Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,21795,37060,2,False
1064,False,Smallest Integer Divisible by K,https://leetcode.com/problems/smallest-integer-divisible-by-k,27363,65305,2,False
1063,,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,21997,41583,2,False
1062,,Partition Array Into Three Parts With Equal Sum,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,45625,94606,1,False
1061,,Number of Valid Subarrays,https://leetcode.com/problems/number-of-valid-subarrays,4641,6439,3,True
1060,False,Longest Repeating Substring,https://leetcode.com/problems/longest-repeating-substring,18123,31026,2,True
1059,False,Missing Element in Sorted Array,https://leetcode.com/problems/missing-element-in-sorted-array,61691,112540,2,True
1058,,Lexicographically Smallest Equivalent String,https://leetcode.com/problems/lexicographically-smallest-equivalent-string,5366,8019,2,True
1057,,Numbers With Repeated Digits,https://leetcode.com/problems/numbers-with-repeated-digits,6981,18446,3,False
1056,,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,69715,116473,2,False
1055,False,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,94783,187351,2,False
1054,False,Complement of Base 10 Integer,https://leetcode.com/problems/complement-of-base-10-integer,64284,104624,1,False
1053,,Minimize Rounding Error to Meet Target,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,5319,12178,2,True
1052,,Campus Bikes,https://leetcode.com/problems/campus-bikes,47254,81586,2,True
1051,,Shortest Way to Form String,https://leetcode.com/problems/shortest-way-to-form-string,42795,74746,2,True
1050,False,Construct Binary Search Tree from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,158693,201306,2,False
1049,False,Minimum Domino Rotations For Equal Row,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,118479,232664,2,False
1048,,Clumsy Factorial,https://leetcode.com/problems/clumsy-factorial,15627,29094,2,False
1047,,Maximize Sum Of Array After K Negations,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations,37180,71079,1,False
1046,False,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,96079,157797,2,False
1045,,Check If Word Is Valid After Substitutions,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,29317,51773,2,False
1044,,Find Common Characters,https://leetcode.com/problems/find-common-characters,102992,150024,1,False
1043,,Grid Illumination,https://leetcode.com/problems/grid-illumination,11320,31439,3,False
1042,,Minimum Cost to Merge Stones,https://leetcode.com/problems/minimum-cost-to-merge-stones,19508,48239,3,False
1041,,Available Captures for Rook,https://leetcode.com/problems/available-captures-for-rook,40205,59321,1,False
1040,,Maximum Binary Tree II,https://leetcode.com/problems/maximum-binary-tree-ii,20652,32212,2,False
1039,False,Find the Town Judge,https://leetcode.com/problems/find-the-town-judge,164038,329442,1,False
1038,False,Number of Squareful Arrays,https://leetcode.com/problems/number-of-squareful-arrays,18499,38111,3,False
1037,False,Minimum Number of K Consecutive Bit Flips,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,19321,38582,3,False
1036,False,Rotting Oranges,https://leetcode.com/problems/rotting-oranges,204728,412523,2,False
1035,False,Cousins in Binary Tree,https://leetcode.com/problems/cousins-in-binary-tree,141858,271287,1,False
1034,False,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers,42597,83793,3,False
1033,False,Broken Calculator,https://leetcode.com/problems/broken-calculator,41831,84074,2,False
1032,False,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,27525,58446,2,False
1031,False,Add to Array-Form of Integer,https://leetcode.com/problems/add-to-array-form-of-integer,66671,148276,1,False
1030,False,Smallest String Starting From Leaf,https://leetcode.com/problems/smallest-string-starting-from-leaf,35795,76395,2,False
1029,True,Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,135038,346283,3,False
1028,False,Interval List Intersections,https://leetcode.com/problems/interval-list-intersections,174990,255496,2,False
1027,False,Sum of Even Numbers After Queries,https://leetcode.com/problems/sum-of-even-numbers-after-queries,52880,87192,1,False
1026,False,String Without AAA or BBB,https://leetcode.com/problems/string-without-aaa-or-bbb,22099,56936,2,False
1025,False,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,95951,152839,2,False
1024,,Triples with Bitwise AND Equal To Zero,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,9761,17319,3,False
1023,False,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,101343,186865,2,False
1022,False,Unique Paths III,https://leetcode.com/problems/unique-paths-iii,68324,88749,3,False
1021,False,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,56810,81256,2,False
1020,False,Longest Turbulent Subarray,https://leetcode.com/problems/longest-turbulent-subarray,38684,82913,2,False
1019,True,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,451570,628349,1,False
1018,False,Largest Perimeter Triangle,https://leetcode.com/problems/largest-perimeter-triangle,44378,75007,1,False
1017,False,Odd Even Jump,https://leetcode.com/problems/odd-even-jump,40086,96612,3,False
1016,False,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,56788,111292,2,False
1014,False,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,443467,686125,2,False
1013,False,Fibonacci Number,https://leetcode.com/problems/fibonacci-number,336082,497905,1,False
1012,False,Equal Rational Numbers,https://leetcode.com/problems/equal-rational-numbers,4550,10819,3,False
1011,False,Flip Binary Tree To Match Preorder Traversal,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal,29369,58593,2,False
